,User,Level1_Baseline_RT,Level1_Baseline_TTL,Level2_Baseline_RT,Level2_Baseline_TTL,Level3_Baseline_RT,Level3_Baseline_TTL,Level4_Baseline_RT,Level4_Baseline_TTL,Inhibition_1_RI_RT,Inhibition_1_RI_False_Alarms,Inhibition_2_RI_RT,Inhibition_2_RI_False_Alarms,Inhibition_3_RI_RT,Inhibition_3_RI_False_Alarms,Inhibition_4_RI_RT,Inhibition_4_RI_False_Alarms,Inhibition_5a_RI_RT,Inhibition_5a_RI_False_Alarms,Inhibition_6a_RI_RT,Inhibition_6a_RI_False_Alarms,Inhibition_7a_RI_RT,Inhibition_7a_RI_False_Alarms,Inhibition_8a_RI_RT,Inhibition_8a_RI_False_Alarms,Shifting_1_Shifting_Congruent_RT,Shifting_1_Shifting_Congruent_Accuracy,Shifting_1_Shifting_Congruent_FA,Shifting_1_Shifting_Incongruent_RT,Shifting_1_Shifting_Incongruent_Accuracy,Shifting_1_Shifting_Incongruent_FA,Shifting_1_Total_Errors,Shifting_2_Shifting_Congruent_RT,Shifting_2_Shifting_Congruent_Accuracy,Shifting_2_Shifting_Congruent_FA,Shifting_2_Shifting_Incongruent_RT,Shifting_2_Shifting_Incongruent_Accuracy,Shifting_2_Shifting_Incongruent_FA,Shifting_2_Total_Errors,Shifting_3_Shifting_Congruent_RT,Shifting_3_Shifting_Congruent_Accuracy,Shifting_3_Shifting_Congruent_FA,Shifting_3_Shifting_Incongruent_RT,Shifting_3_Shifting_Incongruent_Accuracy,Shifting_3_Shifting_Incongruent_FA,Shifting_3_Total_Errors,Shifting_4_Shifting_Congruent_RT,Shifting_4_Shifting_Congruent_Accuracy,Shifting_4_Shifting_Congruent_FA,Shifting_4_Shifting_Incongruent_RT,Shifting_4_Shifting_Incongruent_Accuracy,Shifting_4_Shifting_Incongruent_FA,Shifting_4_Total_Errors,Shifting_5_Shifting_Congruent_RT,Shifting_5_Shifting_Congruent_Accuracy,Shifting_5_Shifting_Congruent_FA,Shifting_5_Shifting_Incongruent_RT,Shifting_5_Shifting_Incongruent_Accuracy,Shifting_5_Shifting_Incongruent_FA,Shifting_5_Total_Errors,Shifting_6_Shifting_Congruent_RT,Shifting_6_Shifting_Congruent_Accuracy,Shifting_6_Shifting_Congruent_FA,Shifting_6_Shifting_Incongruent_RT,Shifting_6_Shifting_Incongruent_Accuracy,Shifting_6_Shifting_Incongruent_FA,Shifting_6_Total_Errors,Shifting_7_Shifting_Congruent_RT,Shifting_7_Shifting_Congruent_Accuracy,Shifting_7_Shifting_Congruent_FA,Shifting_7_Shifting_Incongruent_RT,Shifting_7_Shifting_Incongruent_Accuracy,Shifting_7_Shifting_Incongruent_FA,Shifting_7_Total_Errors,Shifting_8_Shifting_Congruent_RT,Shifting_8_Shifting_Congruent_Accuracy,Shifting_8_Shifting_Congruent_FA,Shifting_8_Shifting_Incongruent_RT,Shifting_8_Shifting_Incongruent_Accuracy,Shifting_8_Shifting_Incongruent_FA,Shifting_8_Total_Errors,Inversion_1_CogInhib_Incongruent_Accuracy,Inversion_1_CogInhib_Incongruent_RT,Inversion_1_Conflict_Resolution_Accuracy,Inversion_1_Conflict_Resolution_RT,Inversion_2_CogInhib_Incongruent_Accuracy,Inversion_2_CogInhib_Incongruent_RT,Inversion_2_Conflict_Resolution_Accuracy,Inversion_2_Conflict_Resolution_RT,Inversion_3_CogInhib_Incongruent_Accuracy,Inversion_3_CogInhib_Incongruent_RT,Inversion_3_Conflict_Resolution_Accuracy,Inversion_3_Conflict_Resolution_RT,Inversion_4_CogInhib_Incongruent_Accuracy,Inversion_4_CogInhib_Incongruent_RT,Inversion_4_Conflict_Resolution_Accuracy,Inversion_4_Conflict_Resolution_RT,Inversion_Alt_1_CogInhib_Incongruent_Accuracy,Inversion_Alt_1_CogInhib_Incongruent_RT,Inversion_Alt_1_Conflict_Resolution_Accuracy,Inversion_Alt_1_Conflict_Resolution_RT,Inversion_5_CogInhib_Incongruent_Accuracy,Inversion_5_CogInhib_Incongruent_RT,Inversion_5_Conflict_Resolution_Accuracy,Inversion_5_Conflict_Resolution_RT,Inversion_6_CogInhib_Incongruent_Accuracy,Inversion_6_CogInhib_Incongruent_RT,Inversion_6_Conflict_Resolution_Accuracy,Inversion_6_Conflict_Resolution_RT,Inversion_7_CogInhib_Incongruent_Accuracy,Inversion_7_CogInhib_Incongruent_RT,Inversion_7_Conflict_Resolution_Accuracy,Inversion_7_Conflict_Resolution_RT,Inversion_8_CogInhib_Incongruent_Accuracy,Inversion_8_CogInhib_Incongruent_RT,Inversion_8_Conflict_Resolution_Accuracy,Inversion_8_Conflict_Resolution_RT,Memory_a_WM_Hits,Memory_a_WM_FA,Memory_a_WM_PR,Memory_a_Min_moves_exit,Memory_a_n_Attempts,Memory_a_WM_Return_Efficiency,Memory_b_WM_Hits,Memory_b_WM_FA,Memory_b_WM_PR,Memory_b_Min_moves_exit,Memory_b_n_Attempts,Memory_b_WM_Return_Efficiency,Memory_c_WM_Hits,Memory_c_WM_FA,Memory_c_WM_PR,Memory_c_Min_moves_exit,Memory_c_n_Attempts,Memory_c_WM_Return_Efficiency,Memory_d_WM_Hits,Memory_d_WM_FA,Memory_d_WM_PR,Memory_d_Min_moves_exit,Memory_d_n_Attempts,Memory_d_WM_Return_Efficiency,Memory_e_WM_Hits,Memory_e_WM_FA,Memory_e_WM_PR,Memory_e_Min_moves_exit,Memory_e_n_Attempts,Memory_e_WM_Return_Efficiency,Memory_f_WM_Hits,Memory_f_WM_FA,Memory_f_WM_PR,Memory_f_Min_moves_exit,Memory_f_n_Attempts,Memory_f_WM_Return_Efficiency,Memory_fg_WM_Hits,Memory_fg_WM_FA,Memory_fg_WM_PR,Memory_fg_Min_moves_exit,Memory_fg_n_Attempts,Memory_fg_WM_Return_Efficiency,Memory_g_WM_Hits,Memory_g_WM_FA,Memory_g_WM_PR,Memory_g_Min_moves_exit,Memory_g_n_Attempts,Memory_g_WM_Return_Efficiency
0,401,5.583630442619324,11.167260885238647,1.0692875981330872,2.1385751962661743,1.0011019945144652,5.005509972572327,0.9021830558776855,4.510915279388428,1.0916134317715962,0.0,0.8003483414649963,12.5,0.9781415859858195,0.0,0.8035575027267138,14.285714285714285,0.877466231584549,11.11111111111111,0.9802550673484802,14.285714285714285,0.6892892979085445,11.11111111111111,0.6344768025658347,19.230769230769234,1.4208897948265076,1.0,0.0,0.9183590173721313,0.6,2.0,2.0,1.4950725436210632,1.0,0.0,2.156147003173828,1.0,0.0,0.0,0.7320749759674072,1.0,0.0,1.40555240213871,1.0,0.0,0.0,1.0399914860725403,0.9,0.0,0.9381041328112284,1.0,0.0,0.0,1.05827934330418,0.9523809523809523,0.0,0.775170859363344,0.8888888888888888,2.0,2.0,1.27998685836792,1.0,0.0,0.8875981122255325,1.0,0.0,0.0,0.8818633341126971,0.5,0.0,0.8197958370049795,0.8333333333333334,1.0,1.0,0.6855654716491699,0.6,0.0,0.7798580408096314,1.0,0.0,0.0,0.75,2.4013265818357468,0.0,0.0,0.75,1.8128738701343536,0.0,0.0,1.0,2.07499498128891,0.0,0.0,1.0,1.787303775548935,0.0,0.0,0.0,1.929069995880127,1.0,2.8032450675964355,0.6666666666666666,1.2173783448007371,0.0,0.0,1.0,1.3578113658087594,0.0,0.0,0.8888888888888888,1.0807083646456401,0.0,0.0,0.7857142857142857,0.9880921819380352,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.2,0.8,5.0,1.0,0.8333333333333334,1.0,0.0,1.0,6.0,1.0,1.0,1.3333333333333333,0.16666666666666666,1.1666666666666667,6.0,1.0,0.6666666666666666,1.0,0.42857142857142855,0.5714285714285714,7.0,1.0,0.7,1.0,0.0,1.0,7.0,1.0,1.0
2,403,0.774802565574646,1.549605131149292,0.564254954457283,1.128509908914566,0.3769619822502136,1.8848099112510681,0.31774999499320983,1.5887499749660492,0.4634433587392171,11.11111111111111,0.3928399880727132,0.0,0.46461667617162067,12.5,0.3836895471269434,14.285714285714285,0.4548575133085251,10.0,0.46143003553152084,0.0,0.3756243921816349,20.0,0.399561806158586,12.5,0.3671199716627598,1.0,0.0,0.4639599919319153,0.6,2.0,2.0,0.8102250099182129,1.0,0.0,0.29278750717639923,1.0,0.0,0.0,0.38205501437187195,1.0,0.0,0.5334888026118279,1.0,0.0,0.0,0.45189454474232416,0.9090909090909091,0.0,0.35049437638372183,0.875,0.0,0.0,0.45788851380348206,1.0,0.0,0.4618221308503832,1.0,0.0,0.0,0.4114408567547798,1.0,0.0,0.42650779088338214,0.8888888888888888,1.0,1.0,0.3705625001873289,0.5714285714285714,0.0,0.4167219936847687,1.0,0.0,0.0,0.3454419806599617,0.6,0.0,0.48118701577186584,1.0,0.0,0.0,1.0,1.4214900135993958,0.0,0.0,1.0,0.6256700456142426,0.0,0.0,1.0,0.8183075487613678,0.0,0.0,1.0,0.6729033788045248,0.0,0.0,0.0,1.2195299863815308,0.5,0.5430450141429901,1.0,0.8603800535202026,0.0,0.0,1.0,0.5756414575236184,0.0,0.0,0.8888888888888888,0.472696668571896,0.0,0.0,0.7692307692307693,0.4111311389849736,0.0,0.0,1.0,0.25,0.75,4.0,1.0,0.8,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,0.42857142857142855,0.5714285714285714,7.0,1.0,0.7
3,404,0.7074999809265137,1.4149999618530273,0.5664999634027481,1.1329999268054962,0.36519999206066134,1.8259999603033066,0.35640001222491263,1.9960000477731228,0.5646666685740153,0.0,0.7773332347472509,0.0,0.7710000872612,0.0,0.4770909141410481,0.0,0.465750016272068,0.0,0.5480000451207161,0.0,0.4842500053346157,0.0,0.4399090896953236,0.0,1.5035001337528229,1.0,0.0,0.6539999842643738,1.0,0.0,0.0,0.5819999873638153,1.0,0.0,1.0529998391866684,1.0,0.0,0.0,0.5800000727176666,1.0,0.0,0.693499967455864,1.0,0.0,0.0,0.5261111127005683,1.0,0.0,0.9903332243363062,1.0,0.0,0.0,0.5872999995946884,1.0,0.0,0.8367143017905099,1.0,0.0,0.0,0.6535714247397014,0.8571428571428571,1.0,0.584500003606081,1.0,0.0,1.0,0.4677857224430357,0.5714285714285714,0.0,0.5722000062465668,1.0,0.0,0.0,0.44290000200271606,0.6,0.0,0.48600004315376283,1.0,0.0,0.0,1.0,1.3284999132156372,0.0,0.0,1.0,0.6455000042915344,0.0,0.0,1.0,0.7865000069141388,0.0,0.0,1.0,0.7812500298023224,0.0,0.0,0.0,1.340000033378601,1.0,1.5820001363754272,1.0,0.7885000109672546,0.0,0.0,1.0,0.656428507396153,0.0,0.0,1.0,0.714375015348196,0.0,0.0,1.0,0.7597000032663346,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.14285714285714285,0.8571428571428571,7.0,1.0,0.875,1.0,0.0,1.0,7.0,1.0,1.0
4,405,6.210947811603546,12.421895623207092,0.8387226015329361,1.6774452030658722,0.537637984752655,2.688189923763275,0.5262760162353516,2.631380081176758,0.7437683939933777,27.27272727272727,0.7182716727256775,0.0,0.9939650893211365,0.0,0.5442086607217789,40.0,0.8896400481462479,11.11111111111111,0.5611837655305862,14.285714285714285,0.4861787371337414,11.11111111111111,0.4644937614599864,18.51851851851852,1.0113262981176376,1.0,0.0,1.0012400329113007,0.6,2.0,2.0,1.0237426161766052,1.0,0.0,0.6555824875831604,1.0,0.0,0.0,0.6093200445175171,1.0,0.0,1.0448200553655624,1.0,0.0,0.0,0.5812177889876895,1.0,0.0,0.7793200373649597,0.8,1.0,1.0,0.5949070036411286,1.0,0.0,0.6649872561295828,0.8888888888888888,1.0,1.0,0.7103319823741913,1.0,0.0,0.6288006640970707,1.0,0.0,0.0,0.525661792073931,0.5714285714285714,0.0,0.6178530216217041,1.0,0.0,0.0,0.5346395075321198,0.6,0.0,0.5790280103683472,1.0,0.0,0.0,0.5,1.477193757891655,0.0,0.0,1.0,1.2399100065231323,0.0,0.0,1.0,0.9829225242137909,0.0,0.0,1.0,1.5041133761405945,0.0,0.0,0.0,3.5030698776245117,1.0,2.1050846576690674,0.6666666666666666,0.7900083760420481,0.0,0.0,1.0,1.0131314567157201,0.0,0.0,0.9,0.8597990036010742,0.0,0.0,0.9090909090909091,0.8746427622708407,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,2.5,0.25,2.25,4.0,2.0,0.36363636363636365,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.2,0.8,5.0,1.0,0.8333333333333334,1.0,0.0,1.0,6.0,1.0,1.0,2.0,0.0,2.0,6.0,1.0,0.5,1.0,0.0,1.0,7.0,1.0,1.0,3.4285714285714284,0.8571428571428571,2.5714285714285716,7.0,2.0,0.23333333333333334
5,406,0.5602874904870987,1.1205749809741974,0.3307024873793125,0.661404974758625,0.27088699787855147,1.3544349893927574,0.2739650011062622,1.369825005531311,0.32560668885707855,11.11111111111111,0.2826266686121623,0.0,0.48387498656908673,22.22222222222222,0.3162799978798086,25.0,0.4456162489950657,11.11111111111111,0.42272622883319855,25.0,0.41271502524614334,18.181818181818183,0.4074836346236142,16.0,0.6675850003957748,1.0,0.0,0.43548333644866943,1.0,0.0,0.0,0.4057474955916405,1.0,0.0,0.20817500352859497,1.0,0.0,0.0,0.3910882870356242,1.0,0.0,0.44780800938606263,0.8,1.0,1.0,0.40905999730933795,0.9090909090909091,0.0,0.62608173986276,1.0,0.0,0.0,0.48123199343681333,1.0,0.0,0.5164157152175903,1.0,0.0,0.0,0.5961114168167114,1.0,0.0,0.5189079955220223,0.8,2.0,2.0,0.4644929846127828,0.6,0.0,0.5806683401266733,0.8333333333333334,1.0,1.0,0.41468599289655683,0.6,0.0,0.5923349499702454,1.0,0.0,0.0,1.0,0.48299500346183777,0.0,0.0,0.75,0.33994875103235245,0.0,0.0,1.0,0.39163753390312195,0.0,0.0,1.0,0.7014016310373942,0.0,0.0,0.0,0.7494850158691406,1.0,1.4625194072723389,1.0,0.5753824934363365,0.0,0.0,0.8888888888888888,0.5052888923221164,0.0,0.0,0.9,0.5628024995326996,0.0,0.0,0.8333333333333334,0.5244345764319102,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,0.14285714285714285,0.8571428571428571,7.0,1.0,0.875
6,407,0.966322660446167,1.932645320892334,0.32717251777648926,0.6543450355529785,0.32992101907730104,1.6496050953865051,0.1600000098347664,0.8000000491738319,0.36666668703158695,0.0,0.6773250823219618,0.0,0.3266966740290324,0.0,0.20909091627055948,0.0,0.6255000546574593,7.6923076923076925,0.5105764141136949,11.11111111111111,0.2936831321567297,0.0,0.6418357979167592,4.545454545454546,0.5000000298023224,1.0,0.0,0.7722434202829996,1.0,0.0,0.0,0.4082775413990021,1.0,0.0,0.25788000226020813,1.0,0.0,0.0,0.05000000074505806,1.0,0.0,0.22895501367747784,1.0,0.0,0.0,0.22707666891316572,1.0,0.0,0.17196834087371826,1.0,0.0,0.0,0.7959998033940792,1.0,0.0,0.3512564535651888,1.0,0.0,0.0,0.10671500340104104,1.0,0.0,0.11473500076681376,1.0,0.0,0.0,0.33454680389591623,0.5714285714285714,0.0,0.08337500095367431,1.0,0.0,0.0,0.1888569977134466,0.6,0.0,0.4977360278367996,1.0,0.0,0.0,0.5,0.5540363006293774,0.0,0.0,0.4,0.5948200434446335,0.0,0.0,0.75,0.533186286687851,0.0,0.0,0.5714285714285714,0.5066750283752169,0.0,0.0,0.0,0.5166599750518799,1.0,1.147335171699524,0.6666666666666666,0.3638325110077858,0.0,0.0,0.8181818181818182,0.3985895704139363,0.0,0.0,0.9,0.6164408583194018,0.0,0.0,0.9090909090909091,0.15426591208035295,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,2.5,0.25,2.25,4.0,2.0,0.36363636363636365,1.0,0.2,0.8,5.0,1.0,0.8333333333333334,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,6.0,1.0,0.75,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0,20.142857142857142,7.142857142857143,13.0,7.0,8.0,0.03664921465968586
7,408,0.598597563803196,1.197195127606392,0.5194075405597687,1.0388150811195374,0.33652301877737045,1.6826150938868523,0.2906400177627802,1.453200088813901,0.5775983333587646,11.11111111111111,0.46382666130860645,0.0,0.5441433091958364,12.5,0.4824627258560874,14.285714285714285,0.4513799846172333,11.11111111111111,0.5579487383365631,14.285714285714285,0.47996124625205994,11.11111111111111,0.5671468079090118,12.5,0.7174050062894821,1.0,0.0,0.4442799786726634,1.0,0.0,0.0,0.4936475083231926,1.0,0.0,0.13180499151349068,1.0,0.0,0.0,0.3075050115585327,1.0,0.0,0.7020913064479828,1.0,0.0,0.0,0.44066453860564664,0.9090909090909091,0.0,0.620227443985641,0.875,0.0,0.0,0.565284092317928,0.9090909090909091,0.0,0.580775011330843,0.875,1.0,1.0,0.6270193180867604,0.8571428571428571,1.0,0.5293356105685234,1.0,0.0,1.0,0.442379330098629,0.6,0.0,0.4449208155274391,0.8333333333333334,1.0,1.0,0.45515150725841524,0.6,0.0,0.6000970125198364,1.0,0.0,0.0,1.0,0.6130825132131577,0.0,0.0,1.0,0.6096699833869934,0.0,0.0,1.0,0.7449849843978882,0.0,0.0,1.0,0.669469972451528,0.0,0.0,0.0,0.7055149674415588,1.0,0.48737001419067383,0.6666666666666666,0.9224058041969935,0.0,0.0,0.875,0.8035494089126587,0.0,0.0,1.0,0.7423768863081932,0.0,0.0,1.0,0.7908134639263154,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,2.5,0.25,2.25,4.0,2.0,0.36363636363636365,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.2,0.8,5.0,1.0,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,6.0,1.0,0.8571428571428571,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.2857142857142857,0.7142857142857143,7.0,1.0,0.7777777777777778,1.0,0.14285714285714285,0.8571428571428571,7.0,1.0,0.875
8,409,1.1700899004936218,2.3401798009872437,0.906015157699585,1.81203031539917,0.6696799874305726,3.3483999371528625,0.5764140337705612,2.882070168852806,0.6597050229708353,10.0,0.48979749499509734,12.5,0.5163183112939199,0.0,0.48215455358678644,14.285714285714285,0.5270966775715351,14.285714285714285,0.49506699442863467,22.22222222222222,0.5036868713796139,27.27272727272727,0.48306363414634357,21.428571428571427,1.2723723948001862,1.0,0.0,0.6932082970937093,1.0,0.0,0.0,0.6821450293064117,1.0,0.0,0.26624999940395355,1.0,0.0,0.0,0.3743024915456772,1.0,0.0,0.7839229881763459,1.0,0.0,0.0,0.5174815118312835,1.0,0.0,0.6062488787704043,0.7777777777777778,0.0,0.0,0.4714545100927353,1.0,0.0,1.0393879073006767,1.0,0.0,0.0,0.4737507232597896,0.8571428571428571,1.0,0.48320188000798225,1.0,0.0,1.0,0.36807322395699366,0.5714285714285714,0.0,0.48973299860954284,1.0,0.0,0.0,0.34463451355695723,0.6,0.0,0.4879180133342743,1.0,0.0,0.0,0.75,1.2028112187981606,0.0,0.0,1.0,1.25697523355484,0.0,0.0,1.0,1.1307574808597565,0.0,0.0,1.0,1.0118482907613118,0.0,0.0,0.0,2.630885124206543,1.0,1.3808649778366089,1.0,1.2183136940002441,0.0,0.0,1.0,0.6692307080541339,0.0,0.0,0.7692307692307693,0.47614499582694125,0.0,0.0,0.8461538461538461,0.4847584596047035,0.0,0.0,1.5,0.75,0.75,4.0,1.0,0.4444444444444444,3.0,0.5,2.5,4.0,3.0,0.2857142857142857,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.16666666666666666,0.8333333333333334,6.0,1.0,0.8571428571428571,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0,1.2857142857142858,0.42857142857142855,0.8571428571428571,7.0,1.0,0.5833333333333334
9,410,0.8136375099420547,1.6272750198841095,0.44019997864961624,0.8803999572992325,0.34595000743865967,1.7297500371932983,0.42556202709674834,2.1278101354837418,0.5846150269110998,18.181818181818183,0.52706004306674,12.5,0.644539992014567,12.5,0.4209195226430893,14.285714285714285,0.4244625195860863,11.11111111111111,0.4031837582588196,14.285714285714285,0.47701749950647354,25.0,0.42054963963372366,12.5,0.7015499770641327,1.0,0.0,0.41157002250353497,1.0,0.0,0.0,0.49366497099399564,0.6,1.0,0.25297749787569046,1.0,0.0,1.0,0.3300725370645523,1.0,0.0,0.7229612618684769,1.0,0.0,0.0,0.5162338978714414,1.0,0.0,0.4965791751941045,1.0,0.0,0.0,0.47142908248034393,1.0,0.0,0.4882718697190285,0.875,1.0,1.0,0.41932856078658787,0.8571428571428571,1.0,0.5552037507295609,1.0,0.0,1.0,0.5787619517909156,0.5,0.0,0.3937931200489402,0.75,1.0,1.0,0.4425131800499829,0.5454545454545454,0.0,0.677549010515213,1.0,0.0,0.0,1.0,0.7458424270153046,0.0,0.0,1.0,0.8275474607944489,0.0,0.0,1.0,0.7700899839401245,0.0,0.0,1.0,0.7810499668121338,0.0,0.0,0.0,1.8369499444961548,0.3333333333333333,0.30694835384686786,0.7,0.811787486076355,0.0,0.0,0.875,0.7304256297647953,0.0,0.0,0.75,0.9721662874023119,0.0,0.0,0.7692307692307693,0.7937276638471163,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0
10,411,1.512502670288086,3.025005340576172,0.9217524528503418,1.8435049057006836,0.49716601371765134,2.485830068588257,0.45522500276565553,2.2761250138282776,0.7110867102940878,33.33333333333333,0.8009167114893595,0.0,0.6271498998006185,22.22222222222222,0.43296123916904133,25.0,0.5800212696194649,20.0,0.40454500168561935,25.0,0.4981543719768524,25.0,0.5550191675623258,16.666666666666664,0.5540666989982128,0.6666666666666666,0.0,0.6795024983584881,0.8333333333333334,0.0,0.0,0.8169599771499634,1.0,0.0,0.42903003096580505,1.0,0.0,0.0,0.4128849692642689,1.0,0.0,0.7295769572257995,0.8,1.0,1.0,0.4712327298792926,0.9090909090909091,0.0,0.4998274952173233,0.7,1.0,1.0,0.5323025047779083,1.0,0.0,0.5294199970861276,0.8888888888888888,1.0,1.0,0.6918160021305084,1.0,0.0,0.5572262592613697,1.0,0.0,0.0,0.5241989344358444,0.5714285714285714,0.0,0.45862499305180143,0.8571428571428571,0.0,0.0,0.49164150953292846,0.6,0.0,0.6223270058631897,1.0,0.0,0.0,0.5714285714285714,0.91221855367933,0.0,0.0,1.0,0.7484725117683411,0.0,0.0,1.0,1.0622449815273285,0.0,0.0,0.8,0.7057920277118683,0.0,0.0,0.0,1.5748649835586548,0.5,0.6033425033092499,0.625,0.7650812417268753,0.0,0.0,0.8181818181818182,0.7079736102711071,0.0,0.0,0.9,0.7267729863524437,0.0,0.0,0.9090909090909091,0.7168881838971918,0.0,0.0,1.0,0.5,0.5,4.0,1.0,0.6666666666666666,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.2,0.8,5.0,1.0,0.8333333333333334,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,0.5714285714285714,0.42857142857142855,7.0,1.0,0.6363636363636364
