StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q4_1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Subject ID:,How stressed are you right now?,Answer the following questions using the scale shown below. - I feel calm.,Answer the following questions using the scale shown below. - I am tense.,Answer the following questions using the scale shown below. - I feel upset.,Answer the following questions using the scale shown below. - I am relaxed.,Answer the following questions using the scale shown below. - I feel content.,Answer the following questions using the scale shown below. - I am worried.,"Answer the following questions using the scale shown below. - In the last month, how often have you felt that you were unable to control the important things in your life?","Answer the following questions using the scale shown below. - In the last month, how often have you felt confident to handle your personal problems?","Answer the following questions using the scale shown below. - In the last month, how often have you felt that things were going your way?","Answer the following questions using the scale shown below. - In the last month, how often have you felt difficulties were piling up so high you could not overcome them?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}"
,,,,,,,,,,,,,,,,,,,,
2021-03-27 13:05:32,2021-03-27 13:07:36,IP Address,*******,100,123,True,2021-03-27 13:07:36,R_3NEE7oRrVszdSUK,*******,*******,*******,*******,*******,*******,anonymous,EN,401,19,3,2,1,2,3,1,3,4,2,1
2021-03-31 15:03:44,2021-03-31 15:05:55,IP Address,*******,100,131,True,2021-03-31 15:05:56,R_88pdqVGlh71xPfr,*******,*******,*******,*******,*******,*******,anonymous,EN,405,61,3,3,1,2,4,3,3,3,3,3
2021-04-01 20:29:11,2021-04-01 20:31:27,IP Address,*******,100,136,True,2021-04-01 20:31:27,R_2CT8S7NYVhJPGAw,*******,*******,*******,*******,*******,*******,anonymous,EN,407,1,5,1,1,5,1,1,1,3,3,2
2021-04-02 11:03:49,2021-04-02 11:04:58,IP Address,*******,100,69,True,2021-04-02 11:04:59,R_2A077d9MVjRss7I,*******,*******,*******,*******,*******,*******,anonymous,EN,411,0,4,1,1,4,3,1,2,5,4,2
2021-04-02 15:02:18,2021-04-02 15:05:17,IP Address,*******,100,179,True,2021-04-02 15:05:21,R_27B699DMPf6NFaV,*******,*******,*******,*******,*******,*******,anonymous,EN,413,40,2,2,1,3,2,1,2,4,4,2
2021-04-04 10:29:03,2021-04-04 10:30:16,IP Address,*******,100,72,True,2021-04-04 10:30:16,R_RC8RdLToy7dEl3P,*******,*******,*******,*******,*******,*******,anonymous,EN,419,30,3,1,1,3,2,1,5,3,2,3
2021-04-04 11:49:01,2021-04-04 11:50:08,IP Address,*******,100,66,True,2021-04-04 11:50:09,R_suQ0NByDILDxGMx,*******,*******,*******,*******,*******,*******,anonymous,EN,403,10,4,1,1,4,4,1,4,4,4,3
2021-04-05 09:05:05,2021-04-05 09:07:18,IP Address,*******,100,132,True,2021-04-05 09:07:19,R_12a5dyv4FjSI1jV,*******,*******,*******,*******,*******,*******,anonymous,EN,4025,54,3,3,2,2,3,2,3,4,2,4
2021-04-05 10:02:07,2021-04-05 10:04:04,IP Address,*******,100,116,True,2021-04-05 10:04:05,R_2QgLDHfEEBnnKiM,*******,*******,*******,*******,*******,*******,anonymous,EN,426,10,4,2,1,4,5,2,3,4,3,3
2021-04-05 11:58:57,2021-04-05 12:00:50,IP Address,*******,100,112,True,2021-04-05 12:00:51,R_2qmgbuXz8kRVG0j,*******,*******,*******,*******,*******,*******,anonymous,EN,417,12,4,2,1,3,4,2,2,3,4,2
2021-04-07 19:32:34,2021-04-07 19:34:03,IP Address,*******,100,89,True,2021-04-07 19:34:04,R_2EB7wEjEPJm6wcN,*******,*******,*******,*******,*******,*******,anonymous,EN,415,1,4,3,1,4,1,1,3,4,3,3
2021-04-08 08:29:48,2021-04-08 08:31:08,IP Address,*******,100,80,True,2021-04-08 08:31:08,R_SOiSWSbASGk8bkJ,*******,*******,*******,*******,*******,*******,anonymous,EN,439,30,2,1,1,3,2,1,3,1,2,4
2021-04-08 12:47:17,2021-04-08 12:48:32,IP Address,*******,100,75,True,2021-04-08 12:48:32,R_1lctVb8CR5dIqed,*******,*******,*******,*******,*******,*******,anonymous,EN,412,19,3,3,1,3,2,1,2,4,3,2
2021-04-08 13:33:12,2021-04-08 13:34:43,IP Address,*******,100,90,True,2021-04-08 13:34:43,R_1C3EKHItTUe50s8,*******,*******,*******,*******,*******,*******,anonymous,EN,409,0,4,1,1,4,4,1,1,3,4,2
2021-04-08 15:14:12,2021-04-08 15:15:14,IP Address,*******,100,61,True,2021-04-08 15:15:14,R_3n6gklQEU6NiQ2v,*******,*******,*******,*******,*******,*******,anonymous,EN,441,0,5,1,1,5,5,1,1,5,1,1
